v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[Nm]
0.000	0.000	0.100104	0.057528	0.000056	9.999999	9.999999	0.01	0.01	11.00 !	0.00	2350	75.000	1.874	304.8
0.050	0.016	0.099527	0.047825	0.091842	9.999999	9.999999	10.41	17.76	55.00 !	3.70	2499	75.000	2.107	286.6
0.100	0.032	0.100509	0.057011	0.177341	9.999999	9.999999	17.63	32.06	11.00 !	6.99	2357	75.000	1.893	303.8
0.150	0.048	0.099775	0.058209	0.264906	9.999999	9.999999	25.71	43.81	0.00 !	10.41	2341	75.000	1.853	305.9
0.200	0.064	0.098900	0.059606	0.351538	6.296171	9.999999	33.18	53.35	0.00 !	13.76	2322	75.000	1.808	308.4
0.250	0.080	0.098332	0.056091	0.444796	4.006420	9.141431	43.83	60.99	0.00	17.56	2370	75.000	1.872	302.2
0.300	0.095	0.096692	0.057050	0.531950	2.735828	5.380571	50.85	67.34	0.00	20.95	2357	75.000	1.820	303.9
0.350	0.111	0.093719	0.057622	0.619370	1.948194	3.422359	56.93	72.72	0.00	24.36	2349	75.000	1.753	304.9
0.400	0.127	0.089375	0.057472	0.708220	1.422440	2.286752	62.20	77.33	0.00	27.87	2351	75.000	1.674	304.7
0.450	0.143	0.083793	0.056484	0.799516	1.053708	1.578441	66.76	81.31	0.00	31.53	2364	75.000	1.588	302.9
0.500	0.159	0.077544	0.054884	0.893472	0.789854	1.118084	70.64	84.69	0.00	35.37	2387	75.000	1.498	300.0
0.550	0.175	0.070565	0.052508	0.991555	0.594022	0.803677	73.91	87.59	0.00	39.49	2423	75.000	1.404	295.6
0.600	0.191	0.063478	0.049643	1.093907	0.449018	0.585250	76.72	90.01	0.00	43.89	2468	75.000	1.311	290.1
0.650	0.207	0.056202	0.046232	1.202056	0.338741	0.428690	79.02	92.05	0.00	48.69	2528	75.000	1.217	283.3
0.700	0.223	0.048724	0.042237	1.318132	0.253211	0.313575	80.75	93.77	0.00	54.04	2605	75.000	1.121	274.9
0.750	0.239	0.041065	0.037638	1.445228	0.185904	0.227185	81.83	95.23	0.00	60.17	2707	75.000	1.020	264.6
0.800	0.255	0.033239	0.032413	1.588355	0.132253	0.161207	82.04	96.48	0.00	67.45	2845	75.000	0.912	251.7
0.850	0.271	0.025254	0.026541	1.756453	0.089008	0.110051	80.88	97.55	0.00	76.61	3041	75.000	0.792	235.5
0.860	0.274	0.023637	0.025286	1.794420	0.081382	0.101232	80.39	97.75	0.00	78.77	3091	75.000	0.765	231.7
0.870	0.277	0.022015	0.024005	1.834251	0.074068	0.092829	79.79	97.93	0.00	81.08	3145	75.000	0.738	227.7
0.880	0.280	0.020388	0.022698	1.876229	0.067044	0.084816	79.05	98.12	0.00	83.56	3204	75.000	0.710	223.5
0.890	0.283	0.018762	0.021369	1.920580	0.060318	0.077190	78.14	98.30	0.00	86.22	3269	75.000	0.680	219.1
0.900	0.286	0.017115	0.020000	1.968044	0.053808	0.069864	77.02	98.47	0.00	89.14	3342	75.000	0.648	214.3
0.910	0.290	0.015471	0.018611	2.018766	0.047575	0.062892	75.65	98.64	0.00	92.32	3423	75.000	0.615	209.2
0.920	0.293	0.013821	0.017195	2.073521	0.041582	0.056231	73.95	98.81	0.00	95.83	3515	75.000	0.579	203.8
0.930	0.296	0.012164	0.015749	2.133200	0.035813	0.049859	71.83	98.96	0.00	99.75	3619	75.000	0.540	197.9
0.940	0.299	0.010507	0.014281	2.198743	0.030280	0.043785	69.16	99.12	0.00	104.16	3739	75.000	0.498	191.5
0.950	0.302	0.008851	0.012793	2.271595	0.024975	0.037996	65.73	99.27	0.00	109.20	3879	75.000	0.451	184.6
0.960	0.306	0.007197	0.011284	2.353855	0.019887	0.032478	61.23	99.42	0.00	115.07	4045	75.000	0.399	177.1
0.970	0.309	0.005543	0.009753	2.448765	0.015001	0.027211	55.13	99.56	0.00	122.06	4246	75.000	0.339	168.7
0.980	0.312	0.003891	0.008204	2.561088	0.010317	0.022196	46.48	99.69	0.00	130.63	4498	75.000	0.267	159.2
0.990	0.315	0.002257	0.006652	2.698042	0.005865	0.017457	33.60	99.82	0.00	141.52	4824	75.000	0.178	148.5
1.000	0.318	0.000617	0.005072	2.877193	0.001571	0.012915	12.17	99.95	0.00	156.47	5280	75.000	0.058	135.6
1.010	0.321	-0.001000	0.003496	3.130442	-0.002497	0.008641	0.00	99.99	0.00	178.91	5978	75.000	-0.121	119.8
1.020	0.325	-0.002615	0.001902	3.570589	-0.006401	0.004565	0.00	99.99	0.00	221.31	7322	75.000	-0.475	97.8
