v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[Nm]
0.000	0.000	0.115697	0.073662	0.000053	9.999999	9.999999	0.00	0.01	16.00 !	0.00	2300	119.000	2.593	494.0
0.050	0.016	0.110703	0.060722	0.087559	9.999999	9.999999	9.12	16.90	86.00 !	3.84	2453	119.000	2.823	463.2
0.100	0.032	0.116496	0.072739	0.168907	9.999999	9.999999	16.02	30.13	25.00 !	7.24	2310	119.000	2.633	492.0
0.150	0.048	0.115925	0.074032	0.252468	9.999999	9.999999	23.49	41.41	2.00 !	10.79	2296	119.000	2.590	494.9
0.200	0.064	0.115134	0.075500	0.335306	7.329671	9.999999	30.50	50.70	0.00 !	14.30	2281	119.000	2.539	498.1
0.250	0.080	0.114175	0.077109	0.417368	4.651892	9.999999	37.02	58.35	0.00	17.75	2265	119.000	2.482	501.6
0.300	0.095	0.113591	0.074462	0.504353	3.213979	7.022818	45.76	64.55	0.00	21.54	2292	119.000	2.528	495.8
0.350	0.111	0.112242	0.074447	0.588435	2.333243	4.421642	52.77	69.75	0.00	25.14	2292	119.000	2.498	495.8
0.400	0.127	0.109667	0.075413	0.670766	1.745411	3.000579	58.17	74.21	0.00	28.60	2282	119.000	2.420	497.9
0.450	0.143	0.105285	0.075323	0.754792	1.323979	2.104886	62.90	78.15	0.00	32.19	2283	119.000	2.325	497.7
0.500	0.159	0.099594	0.074289	0.840980	1.014459	1.513395	67.03	81.61	0.00	35.93	2294	119.000	2.220	495.4
0.550	0.175	0.092948	0.072380	0.929905	0.782451	1.107831	70.63	84.62	0.00	39.87	2314	119.000	2.108	491.2
0.600	0.191	0.085525	0.069628	1.022338	0.604964	0.820863	73.70	87.25	0.00	44.06	2344	119.000	1.990	484.9
0.650	0.207	0.077765	0.066202	1.118767	0.468704	0.613859	76.35	89.51	0.00	48.54	2383	119.000	1.872	476.8
0.700	0.223	0.069907	0.062224	1.219849	0.363297	0.461962	78.64	91.44	0.00	53.37	2433	119.000	1.754	467.0
0.750	0.239	0.061833	0.057615	1.327256	0.279924	0.347768	80.49	93.09	0.00	58.67	2496	119.000	1.633	455.2
0.800	0.255	0.053566	0.052351	1.443131	0.213131	0.260370	81.86	94.52	0.00	64.61	2577	119.000	1.508	440.9
0.850	0.271	0.045124	0.046416	1.570675	0.159043	0.192463	82.64	95.75	0.00	71.46	2683	119.000	1.376	423.6
0.900	0.286	0.036517	0.039788	1.715109	0.114802	0.138985	82.60	96.83	0.00	79.65	2824	119.000	1.234	402.4
0.910	0.290	0.034776	0.038378	1.746726	0.106941	0.129688	82.46	97.02	0.00	81.51	2858	119.000	1.204	397.5
0.920	0.293	0.033028	0.036938	1.779482	0.099367	0.120795	82.26	97.22	0.00	83.46	2895	119.000	1.173	392.5
0.930	0.296	0.031275	0.035471	1.813462	0.092082	0.112296	82.00	97.40	0.00	85.51	2935	119.000	1.141	387.2
0.940	0.299	0.029516	0.033975	1.848826	0.085065	0.104164	81.66	97.59	0.00	87.68	2977	119.000	1.108	381.7
0.950	0.302	0.027746	0.032445	1.885794	0.078287	0.096364	81.24	97.76	0.00	89.99	3023	119.000	1.074	375.9
0.960	0.306	0.025978	0.030894	1.924405	0.071781	0.088920	80.73	97.94	0.00	92.43	3073	119.000	1.039	369.8
0.970	0.309	0.024201	0.029310	1.965030	0.065497	0.081778	80.09	98.11	0.00	95.05	3127	119.000	1.003	363.4
0.980	0.312	0.022412	0.027692	2.007963	0.059425	0.074923	79.32	98.27	0.00	97.86	3187	119.000	0.964	356.6
0.990	0.315	0.020622	0.026048	2.053426	0.053580	0.068362	78.38	98.43	0.00	100.90	3253	119.000	0.924	349.4
1.000	0.318	0.018828	0.024376	2.101874	0.047944	0.062074	77.24	98.59	0.00	104.20	3325	119.000	0.882	341.7
1.010	0.321	0.017023	0.022670	2.153929	0.042494	0.056031	75.84	98.74	0.00	107.81	3407	119.000	0.837	333.6
1.020	0.325	0.015215	0.020936	2.210148	0.037239	0.050238	74.13	98.89	0.00	111.81	3498	119.000	0.789	324.8
1.030	0.328	0.013408	0.019180	2.271273	0.032184	0.044696	72.01	99.04	0.00	116.25	3602	119.000	0.737	315.5
1.040	0.331	0.011588	0.017385	2.338818	0.027282	0.039357	69.32	99.18	0.00	121.29	3722	119.000	0.680	305.3
1.050	0.334	0.009773	0.015573	2.413871	0.022574	0.034257	65.90	99.32	0.00	127.03	3861	119.000	0.617	294.3
1.060	0.337	0.007948	0.013725	2.499203	0.018013	0.029346	61.38	99.45	0.00	133.75	4027	119.000	0.546	282.2
1.070	0.341	0.006154	0.011888	2.596340	0.013687	0.024712	55.39	99.58	0.00	141.64	4225	119.000	0.465	269.0
1.080	0.344	0.004335	0.010002	2.712721	0.009464	0.020219	46.81	99.71	0.00	151.44	4475	119.000	0.368	253.9
1.090	0.347	0.002527	0.008103	2.855593	0.005415	0.015934	33.99	99.83	0.00	163.95	4800	119.000	0.247	236.7
1.100	0.350	0.000768	0.006237	3.036625	0.001615	0.011934	13.54	99.95	0.00	180.54	5238	119.000	0.089	216.9
1.110	0.353	-0.001024	0.004314	3.298679	-0.002116	0.008033	0.00	99.99	0.00	205.99	5923	119.000	-0.152	191.9
1.120	0.357	-0.002790	0.002397	3.743442	-0.005663	0.004345	0.00	99.99	0.00	252.82	7204	119.000	-0.613	157.7
